,price,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,feature
2201,56900000,3,3,144,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2202,3552610,1,1,48,Supalai - ศุภาลัย จำกัด (มหาชน),2021,Khlong San,0,0,no,920,no,no,"['view', 'furniture', 'Water Heater', 'balcony']"
2203,5690000,1,1,48,Quality Houses - ควอลิตี้ เฮ้าส์ จำกัด (มหาชน),2009,Khlong San,2,0,no,110,no,no,"['pool', 'sauna', 'security', 'Jacuzzi', 'car park', 'fitness']"
2204,39900000,3,2,243,Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),2012,Khlong San,2,3,no,no,no,no,"['pool', 'Mini golf range', 'BBQ pits', 'sauna', 'security', 'Playground', 'Basketball court', 'Tennis courts', 'Launderette', 'fitness', 'Squash court']"
2205,45000000,3,3,144.45,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2206,6500000,1,1,58,no,2014,Khlong San,0,0,no,920,no,no,"['Private Garden', 'Air-Conditioning']"
2207,28000000,3,4,165,Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),2012,Khlong San,0,0,no,no,no,no,"['balcony', 'Private Garden', 'Air-Conditioning']"
2208,3990000,1,1,36,Sansiri - แสนสิริ จำกัด (มหาชน),2015,Khlong San,0,0,no,330,no,no,"['cook', 'Washing Machine', 'Water Heater', 'Bed', 'tv', 'Fridge', 'Air-Conditioning']"
2209,2750000,0,1,35,Supalai - ศุภาลัย จำกัด (มหาชน),2009,Khlong San,0,0,no,no,no,no,['balcony']
2210,4970000,1,1,36,Sansiri - แสนสิริ จำกัด (มหาชน),2015,Khlong San,0,0,no,330,no,no,"['balcony', 'Private Garden', 'Air-Conditioning']"
2211,8500000,2,2,80,Supalai - ศุภาลัย จำกัด (มหาชน),2009,Khlong San,3,1,no,no,no,no,"['pool', 'Sky Lounge', 'sauna', 'security', 'Jacuzzi', 'fitness', 'Game room']"
2212,9800000,1,1,64,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2213,12500000,2,2,100,Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),2012,Khlong San,0,0,no,no,no,no,"['balcony', 'Air-Conditioning']"
2214,23000000,1,1,61,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2215,11000000,1,1,69,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2216,95000000,3,4,228,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018,Khlong San,4,7,no,no,no,no,"['Club', 'pool', 'Mini-Mart', 'BBQ pits', 'Mini golf range', 'fitness', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'Playground', 'Game room']"
2217,17550000,1,1,60.55,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2218,19900000,2,2,114,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2219,5099000,1,1,55,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2010,Khlong San,2,3,no,90,no,no,"['pool', 'Mini-Mart', 'Multi-purpose hall', 'sauna', 'security', 'Launderette', 'fitness']"
2220,70000000,2,3,128,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018,Khlong San,0,0,no,330,no,no,"['cook', 'Washing Machine', 'Audio System', 'Bed', 'Water Heater', 'furniture', 'tv', 'Corner Unit', 'High Floor', 'Fridge', 'view', 'balcony', 'Renovated', 'Air-Conditioning']"
2221,2990000,1,1,30,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2012,Khlong San,0,1,no,240,no,no,"['pool', 'Clubhouse', 'security', 'fitness']"
2222,77250000,2,2,164,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018,Khlong San,4,7,no,no,no,no,"['Club', 'pool', 'Mini-Mart', 'BBQ pits', 'Mini golf range', 'fitness', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'Playground', 'Game room']"
2223,45000000,3,3,144.45,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2224,4590000,1,1,44.44,Sansiri - แสนสิริ จำกัด (มหาชน),2015,Khlong San,0,0,no,330,no,no,"['cook', 'Washing Machine', 'Water Heater', 'Bed', 'furniture', 'tv', 'Corner Unit', 'High Floor', 'Fridge', 'view', 'balcony', 'Renovated', 'Internet Connection', 'Air-Conditioning']"
2225,18000000,2,2,95,Land and Houses - แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),2014,Khlong San,2,1,no,30,no,no,"['pool', 'Sky Lounge', 'sauna', 'Library', 'security', 'fitness']"
2226,6250000,2,2,71,Supalai - ศุภาลัย จำกัด (มหาชน),2021,Khlong San,2,0,no,920,no,no,"['pool', 'Sky Lounge', 'sauna', 'security', 'fitness']"
2227,14500000,2,2,142,no,2014,Khlong San,0,0,no,920,no,no,"['pool', 'security', 'fitness']"
2228,74800000,2,3,164,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018,Khlong San,4,7,no,no,no,no,"['Club', 'pool', 'Mini-Mart', 'BBQ pits', 'Mini golf range', 'fitness', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'Playground', 'Game room']"
2229,19500000,2,2,112,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2230,16110000,3,3,120,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2013,Khlong San,1,1,no,350,no,no,"['pool', 'sauna', 'Clubhouse', 'security', 'car park', 'fitness']"
2231,22270000,1,1,79.14,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2232,34250000,2,2,112.65,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2233,17900000,3,3,142,Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),2012,Khlong San,0,0,no,no,no,no,"['balcony', 'Private Garden', 'Air-Conditioning']"
2234,5999000,1,1,47,Land and Houses - แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),2014,Khlong San,0,0,no,30,no,no,"['cook', 'Washing Machine', 'Fridge', 'Air-Conditioning']"
2235,19900000,2,2,99,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2236,29000000,2,2,135,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2237,5000000,2,2,63,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2011,Khlong San,0,0,no,140,no,no,"['pool', 'security', 'fitness']"
2238,26670000,1,1,79.14,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2239,7990000,2,2,72,Sansiri - แสนสิริ จำกัด (มหาชน),2011,Khlong San,0,0,no,200,no,no,"['balcony', 'Private Garden', 'Air-Conditioning']"
2240,4800000,1,1,50,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2010,Khlong San,0,0,no,90,no,no,"['cook', 'Renovated', 'Water Heater', 'Air-Conditioning']"
2241,5600000,1,1,36,Sansiri - แสนสิริ จำกัด (มหาชน),2015,Khlong San,0,2,no,330,no,no,"['Function room', 'pool', 'Library', 'security', 'fitness']"
2242,1840000,0,1,25.25,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2009,Khlong San,0,0,no,290,no,no,['security']
2243,35000000,3,3,242,Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),2012,Khlong San,2,3,no,no,no,no,"['pool', 'Mini golf range', 'BBQ pits', 'sauna', 'security', 'Playground', 'Basketball court', 'Tennis courts', 'Launderette', 'fitness', 'Squash court']"
2244,3770000,1,1,35,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2012,Khlong San,0,0,no,240,no,no,"['balcony', 'Private Garden', 'Air-Conditioning']"
2245,2500000,1,1,21,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2014,Khlong San,0,3,no,90,no,no,"['pool', 'Mini-Mart', 'Library', 'security', 'car park', 'Launderette', 'fitness']"
