,price
3193,1550000
1108,1800000
4445,3650000
2483,2790000
5061,3100000
5263,13500000
2574,5800000
902,13390000
3552,22000000
6134,87850000
5975,3100000
743,13880000
871,3700000
5817,5990000
7628,3500000
2206,6500000
1234,2600000
4760,3790000
4480,5100000
2039,14000000
6170,2220000
3755,14500000
950,24000000
1838,29000000
1743,9700000
4636,2200000
1393,3550000
3587,11900000
6661,8700000
1629,6200000
5464,14900000
6000,33500000
196,5300000
3919,22000000
4506,2100000
6110,5400000
1465,13900000
4713,4800000
695,6590000
2719,4750000
4910,22000000
371,6000000
6685,8455000
6426,35000000
6812,6000000
1181,3250000
1073,26780000
6118,17939000
818,6000000
13,6490000
6480,4350000
6223,17345000
5841,12800000
6842,20000000
2392,6900000
6919,21000000
133,21200000
875,15900000
3565,13800000
6974,22000000
697,13900000
2752,25560000
6738,23000000
5217,5655000
4306,67900000
7054,3800000
651,4435246
4283,10300000
4459,2690000
1083,13380000
6078,5850000
3897,9500000
620,6790000
6529,6025000
2369,36000000
2398,16500000
3264,4790000
2030,24500000
456,10500000
368,3400000
6559,7900000
1351,5550000
1050,3550000
6760,3700000
3519,14250000
2455,5200000
4302,11500000
2130,19500000
193,7290000
941,11227000
7692,4890000
6940,5000000
261,12200000
6552,16000000
4294,33300000
7462,4350000
2851,3990000
4642,2350000
1929,24000000
3553,70000000
1090,6900000
487,7300000
3049,3500000
6482,14000000
803,9900000
7479,2490000
899,18500000
4106,16700000
1422,16250000
5146,6950000
6114,27900000
939,78000000
1798,33800000
5007,2150000
5815,4200000
3450,16100000
5444,2890000
343,11900000
1176,1900000
5434,4600000
2214,23000000
4037,11500000
3015,8500000
4522,3700000
7616,5900000
4425,1390000
970,16000000
2290,7390000
5305,8000000
313,6000000
1307,5650000
4913,3190000
3016,4960000
5360,5700000
3084,1900000
3568,28500000
3453,16500000
750,10500000
6691,27000000
4280,90000000
5665,34880000
6328,25000000
6206,44800000
837,4500000
1065,25219200
6421,6750000
4482,2480000
6645,9000000
2239,7990000
6932,8190000
6792,33000000
1657,106000000
1501,8790000
1687,16000000
1676,11000000
2390,9200000
6774,14000000
323,9400000
2330,2700000
4814,1290000
338,5900000
4725,16050000
1751,40690000
5645,8990000
6763,21000000
1561,23000000
32,3705239
3089,2850000
6952,4500000
3374,1390000
5876,4960000
2815,7200000
1498,15000000
6717,39500000
5441,23500000
1536,10750000
701,10800000
1062,16274000
1391,1850000
1196,3490000
2497,41
2174,3680000
2515,46280000
4791,12900000
984,25000000
1681,40600000
6296,5985000
5977,78685750
1195,5850000
4006,49000000
5311,11900000
2234,5999000
4465,2150000
819,7900000
2955,2850000
1598,19900000
1487,7100000
2576,27810000
7636,5400000
4169,10321000
5969,4190000
791,7000000
2691,50880000
83,6698000
6313,2250000
2900,1850000
128,15300000
4479,1600000
1491,7000000
2313,3800000
1950,11000000
6905,12000
3146,7860000
5998,13250000
5005,1690000
543,5400000
1612,15500000
5694,4400000
2386,5500000
1359,4630000
111,5188809
495,7800000
3648,16000000
7654,5380000
5254,2899000
693,5200000
3279,6320000
5247,2160000
5408,11700000
2726,29500000
3997,30000000
3113,11122000
6939,2750000
4510,3700000
1492,8900000
790,5665000
2155,107400000
3098,2090000
4980,2190000
3056,4770000
4945,2490000
2027,8200000
5296,7000000
2448,8800000
4885,2199000
107,2980000
4471,6590000
4489,3400000
120,7430000
374,7000000
5534,10900000
5225,4800000
3102,2990725
920,15200000
947,9900000
5344,3900000
5196,5200000
6506,12900000
5283,2000000
2778,4300000
6571,2900000
5491,13500000
6061,20900000
4243,7500000
6574,13000000
4553,3200000
2607,24750000
2675,3500000
1589,60000000
2811,4750000
6084,10690000
2074,8700000
2152,90000000
6664,4300000
2493,92790000
6021,12500000
2471,7107000
6460,7300000
4706,2350000
6335,31000000
55,10200000
6751,21000000
4860,2500000
3923,18490000
4658,1700000
3759,6900000
1811,11500000
1383,3290000
3109,7600000
6897,3990000
2143,24650000
499,4990000
5268,1650000
7095,4900000
7219,5350000
7528,10747000
1904,14500000
3391,28500000
710,6790000
2883,4690000
1481,12000000
4162,9500000
189,7900000
5549,2000000
7700,9420000
1537,5960000
6880,51000000
2727,26000000
1896,12500000
4264,8240000
7589,7900000
1576,14995000
3546,13500000
6899,16990000
5601,6590000
3171,7790000
2630,92000000
241,5000000
3451,13340000
6925,10000000
3260,1950000
4863,3490000
5710,5200000
4428,3308800
3605,12980000
4828,3150000
1504,9390000
2038,16310000
484,15200000
5626,2200000
7100,11990000
3284,8000000
2261,6300000
3178,5700000
430,4624442
1783,92982730
6955,9400000
2939,3745000
1002,23500000
1184,3750000
6478,2690000
6500,3000000
2537,3750000
450,8434670
2400,21000000
4547,2350000
1496,10060000
6525,9120000
7234,4110000
4167,11500000
6538,5400000
556,5390000
869,6643500
1945,24990890
1640,10000000
6299,20200000
4869,3550000
1477,16900000
1632,16240000
176,11500000
3560,14690000
2117,9449220
6286,16600000
7691,8340000
6764,8100000
1608,17500000
6709,23700000
1493,8570000
5346,11200000
4949,6014000
1721,59000000
660,8600000
2376,4250000
958,22610000
6734,24570000
2034,18500000
6816,12300000
6632,45000000
5979,43000000
3218,3200000
6341,5450000
64,3675000
3127,5376957
5055,1390000
648,9500000
5246,4500000
6116,3400000
221,5531815
2747,4400000
6451,16800000
5352,7800000
3717,22990000
6468,19000000
6843,12000000
5883,16590000
2260,4000000
3735,11279000
2879,3200000
475,5800000
6182,6290000
2131,6100000
4803,4200000
272,10800000
5513,2450000
1586,21000000
718,18900000
865,13500000
6237,5900000
2996,2650000
3585,22000000
6259,11390000
2424,77358455
4846,6000000
7554,6300000
1349,4260000
1,3300000
2557,28500000
5818,7800000
1841,12000000
2740,17100000
5757,3700000
5746,5500000
5208,3590000
1158,4187200
586,12890000
5509,14990000
4625,2900000
928,25000000
1880,13900000
1060,9000000
7077,7500000
6953,17000000
1486,7470000
1175,3150000
3017,1500000
5548,3300000
2295,80000000
3212,7200000
1253,2450000
4681,4290000
3890,39000000
5660,17000
1388,4600000
3988,34000
5865,4990000
6575,6210000
6958,8500000
1480,16307180
5454,5300000
2310,22230000
7457,5280000
3267,6040000
1804,18200000
1289,3100000
2338,14200000
408,9880000
7712,49456400
3000,15000000
6644,12500000
4325,57500000
1601,10500000
3966,8400000
5430,4800000
3488,32000000
2674,3590000
2073,10290000
642,4221289
296,3450000
6455,6500000
2944,3080000
1042,6100000
3516,12000000
2513,12500000
4769,2450000
6055,8300000
3684,25000000
5612,10500000
2429,3650000
685,4270000
1627,110000000
504,4681606
5670,6900000
1863,16800000
2432,4500000
1756,21000000
353,3500000
1371,3000000
6820,9500000
6648,29500000
5043,1700000
900,35500000
6625,17850000
92,5490000
5553,11270000
7454,9880000
5890,1990000
5853,10900000
842,7000000
2606,8700000
7047,4200000
2461,12000000
5468,14500000
2545,66120000
6936,20500000
6875,17700000
3497,19900000
6143,28000000
742,3300000
1865,27230000
5428,10000000
4536,2400000
5463,46000000
5703,5390000
4899,2350000
4487,11500000
5392,3000000
6437,10500000
2945,3500000
1590,4450000
2667,22000000
3471,22000000
3095,1650000
6752,5470000
7181,17990000
443,6300000
7694,4000000
4266,29700000
2383,6390000
3725,24000000
5742,17500000
1068,4740000
5253,4600000
6043,29355000
7075,9500000
1825,40000000
1183,3450000
4920,8455000
3564,15200000
4654,4150000
5692,5300000
2768,1400000
5099,1900000
7351,4590000
3253,8790000
662,12000000
